
Camera FPS set to: 30
Camera resolution set to: 640x480

16:39:27.646: 1999213ms, Total frame: 1
16:39:27.660: Frames in the last second: 2, Frame loss: 0, Total frame: 2
16:39:27.664: 17499ms, Total frame: 2
16:39:27.786: 121821ms, Total frame: 3
16:39:27.802: 15290ms, Total frame: 4
16:39:27.860: 58264ms, Total frame: 5
16:39:27.983: 122855ms, Total frame: 6
16:39:27.996: 12353ms, Total frame: 7
16:39:28.065: 69191ms, Total frame: 8
16:39:28.125: 58190ms, Total frame: 9
16:39:28.156: 30477ms, Total frame: 10
16:39:28.267: 103165ms, Total frame: 11
16:39:28.357: 88599ms, Total frame: 12
16:39:28.480: 50822ms, Total frame: 13
16:39:28.530: 50084ms, Total frame: 14
16:39:28.560: 26931ms, Total frame: 15
16:39:28.591: 30963ms, Total frame: 16
16:39:28.619: 27585ms, Total frame: 17
16:39:28.691: 71448ms, Total frame: 18
16:39:28.745: Frames in the last second: 17, Frame loss: 0, Total frame: 19
16:39:28.761: 69632ms, Total frame: 19
16:39:28.774: 9756ms, Total frame: 20
16:39:28.789: 14702ms, Total frame: 21
16:39:28.944: 155107ms, Total frame: 22
16:39:28.969: 23647ms, Total frame: 23
16:39:28.997: 27407ms, Total frame: 24
16:39:29.058: 61206ms, Total frame: 25
16:39:29.083: 25130ms, Total frame: 26
16:39:29.115: 31325ms, Total frame: 27
16:39:29.158: 43326ms, Total frame: 28
16:39:29.222: 61988ms, Total frame: 29
16:39:29.321: 98767ms, Total frame: 30
16:39:29.391: 27736ms, Total frame: 31
16:39:29.410: 18790ms, Total frame: 32
16:39:29.671: 260907ms, Total frame: 33
16:39:29.736: 55628ms, Total frame: 34
16:39:29.757: Frames in the last second: 16, Frame loss: 0, Total frame: 35
16:39:29.764: 27124ms, Total frame: 35
16:39:29.852: 88819ms, Total frame: 36
16:39:29.900: 16434ms, Total frame: 37
16:39:29.969: 68693ms, Total frame: 38
16:39:30.016: 45731ms, Total frame: 39
16:39:30.135: 118338ms, Total frame: 40
16:39:30.175: 15096ms, Total frame: 41
16:39:30.328: 118953ms, Total frame: 42
16:39:30.353: 10293ms, Total frame: 43
16:39:30.513: 159923ms, Total frame: 44
16:39:30.604: 90622ms, Total frame: 45
16:39:30.725: 121003ms, Total frame: 46
16:39:30.767: 41285ms, Total frame: 47
16:39:30.776: Frames in the last second: 13, Frame loss: 0, Total frame: 48
16:39:30.863: 96448ms, Total frame: 48
16:39:30.914: 48809ms, Total frame: 49
16:39:31.006: 91357ms, Total frame: 50
16:39:31.050: 43727ms, Total frame: 51
16:39:31.251: 201742ms, Total frame: 52
16:39:31.333: 80311ms, Total frame: 53
16:39:31.364: 30815ms, Total frame: 54
16:39:31.576: 140479ms, Total frame: 55
16:39:31.617: 40521ms, Total frame: 56
16:39:31.711: 94695ms, Total frame: 57
16:39:31.762: 48284ms, Total frame: 58
16:39:31.817: 55458ms, Total frame: 59
16:39:31.824: Frames in the last second: 12, Frame loss: 0, Total frame: 60
16:39:31.897: 79767ms, Total frame: 60
16:39:31.948: 50538ms, Total frame: 61
16:39:31.976: 27921ms, Total frame: 62
16:39:32.014: 37843ms, Total frame: 63
16:39:32.112: 58670ms, Total frame: 64
16:39:32.250: 135920ms, Total frame: 65
16:39:32.264: 14094ms, Total frame: 66
16:39:32.340: 75985ms, Total frame: 67
16:39:32.394: 52532ms, Total frame: 68
16:39:32.497: 102862ms, Total frame: 69
16:39:32.523: 24765ms, Total frame: 70
16:39:32.604: 80215ms, Total frame: 71
16:39:32.668: 63255ms, Total frame: 72
16:39:32.732: 63567ms, Total frame: 73
16:39:32.863: 129781ms, Total frame: 74
16:39:32.886: Frames in the last second: 15, Frame loss: 0, Total frame: 75
16:39:32.898: 32977ms, Total frame: 75
16:39:33.015: 111468ms, Total frame: 76
16:39:33.051: 33126ms, Total frame: 77
16:39:33.091: 39796ms, Total frame: 78
16:39:33.163: 71854ms, Total frame: 79
16:39:33.209: 45137ms, Total frame: 80
16:39:33.334: 125415ms, Total frame: 81
16:39:33.428: 92186ms, Total frame: 82
16:39:33.470: 41334ms, Total frame: 83
16:39:33.498: 27543ms, Total frame: 84
16:39:33.557: 59611ms, Total frame: 85
16:39:33.633: 75680ms, Total frame: 86
16:39:33.782: 149198ms, Total frame: 87
16:39:33.843: 60261ms, Total frame: 88
16:39:33.892: 44593ms, Total frame: 89
16:39:33.915: Frames in the last second: 15, Frame loss: 0, Total frame: 90
16:39:34.034: 141784ms, Total frame: 90
16:39:34.079: 44838ms, Total frame: 91
16:39:34.230: 150237ms, Total frame: 92
16:39:34.279: 49250ms, Total frame: 93
16:39:34.378: 98435ms, Total frame: 94
16:39:34.431: 50692ms, Total frame: 95
16:39:34.470: 38978ms, Total frame: 96
16:39:34.563: 92450ms, Total frame: 97
16:39:34.721: 157555ms, Total frame: 98
16:39:34.815: 87860ms, Total frame: 99
16:39:34.901: 86018ms, Total frame: 100
16:39:34.948: Frames in the last second: 11, Frame loss: 0, Total frame: 101
16:39:35.064: 162397ms, Total frame: 101
16:39:35.145: 80649ms, Total frame: 102
16:39:35.392: 244028ms, Total frame: 103
16:39:35.468: 69594ms, Total frame: 104
16:39:35.552: 84307ms, Total frame: 105
16:39:35.817: 265005ms, Total frame: 106
16:39:35.963: 138822ms, Total frame: 107
16:39:35.992: Frames in the last second: 7, Frame loss: 0, Total frame: 108
16:39:36.013: 50121ms, Total frame: 108
16:39:36.030: 16273ms, Total frame: 109
16:39:36.084: 54540ms, Total frame: 110
16:39:36.233: 148381ms, Total frame: 111
16:39:36.271: 38142ms, Total frame: 112
16:39:36.356: 83206ms, Total frame: 113
16:39:36.499: 139854ms, Total frame: 114
16:39:36.568: 68535ms, Total frame: 115
16:39:36.639: 70186ms, Total frame: 116
16:39:36.761: 121949ms, Total frame: 117
16:39:36.853: 91833ms, Total frame: 118
16:39:36.956: 103557ms, Total frame: 119
16:39:37.007: 50433ms, Total frame: 120
16:39:37.009: Frames in the last second: 13, Frame loss: 0, Total frame: 121
16:39:37.060: 52114ms, Total frame: 121
16:39:37.147: 87439ms, Total frame: 122
16:39:37.222: 74977ms, Total frame: 123
16:39:37.388: 165526ms, Total frame: 124
16:39:37.492: 102941ms, Total frame: 125
16:39:37.580: 86680ms, Total frame: 126
16:39:37.646: 63796ms, Total frame: 127
16:39:37.690: 41071ms, Total frame: 128
16:39:37.804: 113968ms, Total frame: 129
16:39:37.938: 112465ms, Total frame: 130
16:39:38.061: 122070ms, Total frame: 131
16:39:38.167: Frames in the last second: 11, Frame loss: 0, Total frame: 132
16:39:38.213: 125030ms, Total frame: 132
16:39:38.378: 162735ms, Total frame: 133
16:39:38.468: 85301ms, Total frame: 134
16:39:38.652: 184042ms, Total frame: 135
16:39:38.690: 13259ms, Total frame: 136
16:39:38.771: 80466ms, Total frame: 137
16:39:38.816: 45582ms, Total frame: 138
16:39:38.895: 78968ms, Total frame: 139
16:39:38.971: 74924ms, Total frame: 140
16:39:39.188: 217210ms, Total frame: 141
16:39:39.191: Frames in the last second: 10, Frame loss: 0, Total frame: 142
16:39:39.294: 105304ms, Total frame: 142
16:39:39.361: 66352ms, Total frame: 143
16:39:39.417: 55251ms, Total frame: 144
16:39:39.607: 190569ms, Total frame: 145
16:39:39.759: 150198ms, Total frame: 146
16:39:39.909: 150688ms, Total frame: 147
16:39:39.937: 16153ms, Total frame: 148
16:39:40.011: 73343ms, Total frame: 149
16:39:40.093: 81803ms, Total frame: 150
16:39:40.146: 53746ms, Total frame: 151
16:39:40.229: 81092ms, Total frame: 152
16:39:40.231: Frames in the last second: 11, Frame loss: 0, Total frame: 153
16:39:40.284: 55397ms, Total frame: 153
16:39:40.518: 233661ms, Total frame: 154
16:39:40.553: 34422ms, Total frame: 155
16:39:40.611: 57776ms, Total frame: 156
16:39:40.706: 93569ms, Total frame: 157
16:39:40.729: 22816ms, Total frame: 158
16:39:40.844: 114255ms, Total frame: 159
16:39:40.912: 68283ms, Total frame: 160
16:39:40.933: 19627ms, Total frame: 161
16:39:40.998: 64856ms, Total frame: 162
16:39:41.027: 29628ms, Total frame: 163
16:39:41.178: 144880ms, Total frame: 164
16:39:41.197: 16110ms, Total frame: 165
16:39:41.266: 69541ms, Total frame: 166
16:39:41.289: Frames in the last second: 14, Frame loss: 0, Total frame: 167
16:39:41.356: 89822ms, Total frame: 167
16:39:41.405: 48692ms, Total frame: 168
16:39:41.553: 147800ms, Total frame: 169
16:39:41.651: 97645ms, Total frame: 170
16:39:41.738: 85366ms, Total frame: 171
16:39:41.934: 191747ms, Total frame: 172
16:39:42.009: 74374ms, Total frame: 173
16:39:42.037: 28342ms, Total frame: 174
16:39:42.101: 63885ms, Total frame: 175
16:39:42.173: 71384ms, Total frame: 176
16:39:42.252: 79138ms, Total frame: 177
16:39:42.343: 90473ms, Total frame: 178
16:39:42.366: Frames in the last second: 12, Frame loss: 0, Total frame: 179
16:39:42.388: 44966ms, Total frame: 179
16:39:42.398: 10102ms, Total frame: 180
16:39:42.628: 229171ms, Total frame: 181
16:39:42.639: 11013ms, Total frame: 182
16:39:42.754: 115675ms, Total frame: 183
16:39:42.826: 71117ms, Total frame: 184
16:39:42.864: 18548ms, Total frame: 185
16:39:42.911: 46461ms, Total frame: 186
16:39:42.960: 34089ms, Total frame: 187
16:39:43.018: 52344ms, Total frame: 188
16:39:43.122: 103657ms, Total frame: 189
16:39:43.196: 71980ms, Total frame: 190
16:39:43.255: 58612ms, Total frame: 191
16:39:43.325: 69687ms, Total frame: 192
16:39:43.413: 87791ms, Total frame: 193
16:39:43.445: Frames in the last second: 15, Frame loss: 0, Total frame: 194
16:39:43.502: 88549ms, Total frame: 194
16:39:43.532: 30180ms, Total frame: 195
16:39:43.609: 71008ms, Total frame: 196
16:39:43.662: 52340ms, Total frame: 197
16:39:43.778: 113864ms, Total frame: 198
16:39:43.805: 26199ms, Total frame: 199
16:39:43.857: 52234ms, Total frame: 200
16:39:43.995: 136128ms, Total frame: 201
16:39:44.150: 151002ms, Total frame: 202
16:39:44.282: 132147ms, Total frame: 203
16:39:44.344: 60922ms, Total frame: 204
16:39:44.394: 48935ms, Total frame: 205
16:39:44.550: Frames in the last second: 12, Frame loss: 0, Total frame: 206
16:39:44.571: 176861ms, Total frame: 206
16:39:44.638: 67538ms, Total frame: 207
16:39:44.746: 106959ms, Total frame: 208
16:39:44.772: 26312ms, Total frame: 209
16:39:44.852: 79735ms, Total frame: 210
16:39:44.906: 53940ms, Total frame: 211
16:39:44.960: 53796ms, Total frame: 212
16:39:45.000: 39934ms, Total frame: 213
16:39:45.097: 96515ms, Total frame: 214
16:39:45.137: 37983ms, Total frame: 215
16:39:45.222: 84795ms, Total frame: 216
16:39:45.238: 15909ms, Total frame: 217
16:39:45.357: 118975ms, Total frame: 218
16:39:45.534: 176424ms, Total frame: 219
16:39:45.579: 44698ms, Total frame: 220
16:39:45.581: Frames in the last second: 15, Frame loss: 0, Total frame: 221
16:39:45.593: 13895ms, Total frame: 221
16:39:45.722: 128433ms, Total frame: 222
16:39:45.752: 29737ms, Total frame: 223
16:39:45.798: 37230ms, Total frame: 224
16:39:45.877: 69525ms, Total frame: 225
16:39:45.932: 55433ms, Total frame: 226
16:39:45.977: 43956ms, Total frame: 227
16:39:45.986: 9662ms, Total frame: 228
16:39:46.048: 61159ms, Total frame: 229
16:39:46.068: 19446ms, Total frame: 230
16:39:46.174: 105333ms, Total frame: 231
16:39:46.215: 41134ms, Total frame: 232
16:39:46.237: 21287ms, Total frame: 233
16:39:46.319: 82496ms, Total frame: 234
16:39:46.357: 37928ms, Total frame: 235
16:39:46.392: 34282ms, Total frame: 236
16:39:46.422: 30606ms, Total frame: 237
16:39:46.446: 23149ms, Total frame: 238
16:39:46.559: 113044ms, Total frame: 239
16:39:46.586: Frames in the last second: 19, Frame loss: 0, Total frame: 240
16:39:46.664: 104642ms, Total frame: 240
16:39:46.679: 14120ms, Total frame: 241
16:39:46.727: 48671ms, Total frame: 242
16:39:46.768: 40800ms, Total frame: 243
16:39:46.810: 41478ms, Total frame: 244
16:39:46.879: 65502ms, Total frame: 245
16:39:46.930: 50274ms, Total frame: 246
16:39:46.949: 19604ms, Total frame: 247
16:39:47.006: 56190ms, Total frame: 248
16:39:47.085: 76445ms, Total frame: 249
16:39:47.101: 16348ms, Total frame: 250
16:39:47.177: 75139ms, Total frame: 251
16:39:47.193: 15733ms, Total frame: 252
16:39:47.222: 29178ms, Total frame: 253
16:39:47.271: 48575ms, Total frame: 254
16:39:47.291: 20228ms, Total frame: 255
16:39:47.381: 89369ms, Total frame: 256
16:39:47.440: 45721ms, Total frame: 257
16:39:47.549: 108750ms, Total frame: 258
16:39:47.647: 96736ms, Total frame: 259
16:39:47.654: Frames in the last second: 20, Frame loss: 0, Total frame: 260
16:39:47.678: 31311ms, Total frame: 260
16:39:47.968: 287647ms, Total frame: 261
