
Camera FPS set to: 30
Camera resolution set to: 800x448

11:12:29.053: 682235ms, Total frame: 1
11:12:29.119: 63313ms, Total frame: 2
11:12:29.168: 49816ms, Total frame: 3
11:12:29.235: 63543ms, Total frame: 4
11:12:29.295: 56959ms, Total frame: 5
11:12:29.357: 61906ms, Total frame: 6
11:12:29.416: Frames in the last second: 7, Frame loss: 0, Total frame: 7
11:12:29.438: 70059ms, Total frame: 7
11:12:29.497: 58991ms, Total frame: 8
11:12:29.587: 86040ms, Total frame: 9
11:12:29.711: 119688ms, Total frame: 10
11:12:29.747: 35915ms, Total frame: 11
11:12:29.839: 92104ms, Total frame: 12
11:12:29.962: 121129ms, Total frame: 13
11:12:30.048: 85300ms, Total frame: 14
11:12:30.080: 28942ms, Total frame: 15
11:12:30.140: 58038ms, Total frame: 16
11:12:30.199: 58761ms, Total frame: 17
11:12:30.273: 70123ms, Total frame: 18
11:12:30.341: 68014ms, Total frame: 19
11:12:30.433: 86863ms, Total frame: 20
11:12:30.479: Frames in the last second: 14, Frame loss: 0, Total frame: 21
11:12:30.495: 59117ms, Total frame: 21
11:12:30.592: 96822ms, Total frame: 22
11:12:30.677: 82395ms, Total frame: 23
11:12:30.748: 66291ms, Total frame: 24
11:12:30.863: 109546ms, Total frame: 25
11:12:30.925: 57204ms, Total frame: 26
11:12:30.958: 33174ms, Total frame: 27
11:12:31.039: 80532ms, Total frame: 28
11:12:31.147: 105944ms, Total frame: 29
11:12:31.246: 95296ms, Total frame: 30
11:12:31.307: 61075ms, Total frame: 31
11:12:31.365: 57332ms, Total frame: 32
11:12:31.439: 74128ms, Total frame: 33
11:12:31.567: Frames in the last second: 13, Frame loss: 0, Total frame: 34
11:12:31.581: 137771ms, Total frame: 34
11:12:31.685: 104180ms, Total frame: 35
11:12:31.695: 10045ms, Total frame: 36
11:12:31.753: 52000ms, Total frame: 37
11:12:31.823: 70025ms, Total frame: 38
11:12:31.942: 116293ms, Total frame: 39
11:12:31.990: 47519ms, Total frame: 40
11:12:32.093: 96878ms, Total frame: 41
11:12:32.216: 113369ms, Total frame: 42
11:12:32.303: 86670ms, Total frame: 43
11:12:32.321: 18062ms, Total frame: 44
11:12:32.391: 69113ms, Total frame: 45
11:12:32.471: 76459ms, Total frame: 46
11:12:32.535: 61048ms, Total frame: 47
11:12:32.633: Frames in the last second: 14, Frame loss: 0, Total frame: 48
11:12:32.674: 134710ms, Total frame: 48
11:12:32.708: 34430ms, Total frame: 49
11:12:32.801: 92390ms, Total frame: 50
11:12:32.846: 45155ms, Total frame: 51
11:12:32.943: 96757ms, Total frame: 52
11:12:33.010: 66769ms, Total frame: 53
11:12:33.078: 66143ms, Total frame: 54
11:12:33.166: 87641ms, Total frame: 55
11:12:33.242: 68961ms, Total frame: 56
11:12:33.332: 89334ms, Total frame: 57
11:12:33.437: 97970ms, Total frame: 58
11:12:33.529: 87381ms, Total frame: 59
11:12:33.587: 55480ms, Total frame: 60
11:12:33.646: 58596ms, Total frame: 61
11:12:33.704: Frames in the last second: 14, Frame loss: 0, Total frame: 62
11:12:33.710: 63915ms, Total frame: 62
11:12:33.785: 75258ms, Total frame: 63
11:12:33.897: 109789ms, Total frame: 64
11:12:33.968: 66755ms, Total frame: 65
11:12:34.069: 100875ms, Total frame: 66
11:12:34.132: 63145ms, Total frame: 67
11:12:34.175: 40809ms, Total frame: 68
11:12:34.242: 67241ms, Total frame: 69
11:12:34.357: 111877ms, Total frame: 70
11:12:34.414: 56618ms, Total frame: 71
11:12:34.540: 125533ms, Total frame: 72
11:12:34.605: 63326ms, Total frame: 73
11:12:34.658: 50509ms, Total frame: 74
11:12:34.718: Frames in the last second: 13, Frame loss: 0, Total frame: 75
11:12:34.742: 81245ms, Total frame: 75
11:12:34.861: 118807ms, Total frame: 76
11:12:34.930: 67538ms, Total frame: 77
11:12:35.000: 69917ms, Total frame: 78
11:12:35.075: 64594ms, Total frame: 79
11:12:35.154: 79468ms, Total frame: 80
11:12:35.203: 48538ms, Total frame: 81
11:12:35.382: 178336ms, Total frame: 82
11:12:35.427: 45015ms, Total frame: 83
11:12:35.493: 65654ms, Total frame: 84
11:12:35.525: 32312ms, Total frame: 85
11:12:35.582: 56539ms, Total frame: 86
11:12:35.627: 45184ms, Total frame: 87
11:12:35.706: 78724ms, Total frame: 88
11:12:35.802: Frames in the last second: 14, Frame loss: 0, Total frame: 89
11:12:35.815: 109281ms, Total frame: 89
11:12:35.890: 73040ms, Total frame: 90
11:12:35.955: 64549ms, Total frame: 91
11:12:36.059: 103989ms, Total frame: 92
11:12:36.123: 63303ms, Total frame: 93
11:12:36.187: 63123ms, Total frame: 94
11:12:36.225: 37546ms, Total frame: 95
11:12:36.245: 20214ms, Total frame: 96
11:12:36.367: 121470ms, Total frame: 97
11:12:36.444: 76997ms, Total frame: 98
11:12:36.524: 78617ms, Total frame: 99
11:12:36.599: 69604ms, Total frame: 100
11:12:36.693: 94330ms, Total frame: 101
11:12:36.762: 65990ms, Total frame: 102
11:12:36.828: Frames in the last second: 14, Frame loss: 0, Total frame: 103
11:12:36.849: 87267ms, Total frame: 103
11:12:36.920: 71354ms, Total frame: 104
11:12:36.976: 54576ms, Total frame: 105
11:12:37.017: 37463ms, Total frame: 106
11:12:37.074: 57689ms, Total frame: 107
11:12:37.184: 104770ms, Total frame: 108
11:12:37.218: 32137ms, Total frame: 109
11:12:37.310: 91028ms, Total frame: 110
11:12:37.405: 95558ms, Total frame: 111
11:12:37.446: 38930ms, Total frame: 112
11:12:37.540: 93640ms, Total frame: 113
11:12:37.619: 70623ms, Total frame: 114
11:12:37.643: 19801ms, Total frame: 115
11:12:37.745: 102002ms, Total frame: 116
11:12:37.800: 54763ms, Total frame: 117
11:12:37.847: 44510ms, Total frame: 118
11:12:37.918: Frames in the last second: 16, Frame loss: 0, Total frame: 119
11:12:37.937: 90386ms, Total frame: 119
11:12:37.983: 45923ms, Total frame: 120
11:12:38.069: 85689ms, Total frame: 121
11:12:38.189: 117866ms, Total frame: 122
11:12:38.259: 66294ms, Total frame: 123
11:12:38.336: 70298ms, Total frame: 124
11:12:38.409: 73347ms, Total frame: 125
11:12:38.458: 48996ms, Total frame: 126
11:12:38.545: 85856ms, Total frame: 127
11:12:38.648: 103547ms, Total frame: 128
11:12:38.724: 73197ms, Total frame: 129
11:12:38.821: 92592ms, Total frame: 130
11:12:38.886: 64832ms, Total frame: 131
11:12:38.922: Frames in the last second: 13, Frame loss: 0, Total frame: 132
11:12:38.934: 35397ms, Total frame: 132
11:12:39.035: 100874ms, Total frame: 133
11:12:39.101: 66002ms, Total frame: 134
11:12:39.196: 95094ms, Total frame: 135
11:12:39.274: 68991ms, Total frame: 136
11:12:39.330: 52141ms, Total frame: 137
11:12:39.428: 97623ms, Total frame: 138
11:12:39.489: 60731ms, Total frame: 139
11:12:39.555: 66522ms, Total frame: 140
11:12:39.591: 30646ms, Total frame: 141
11:12:39.650: 56838ms, Total frame: 142
11:12:39.718: 67796ms, Total frame: 143
11:12:39.842: 122469ms, Total frame: 144
11:12:39.873: 29446ms, Total frame: 145
11:12:39.903: 24054ms, Total frame: 146
11:12:40.008: Frames in the last second: 15, Frame loss: 0, Total frame: 147
11:12:40.040: 136718ms, Total frame: 147
11:12:40.145: 104125ms, Total frame: 148
11:12:40.257: 100940ms, Total frame: 149
11:12:40.343: 85460ms, Total frame: 150
11:12:40.365: 19852ms, Total frame: 151
11:12:40.402: 36876ms, Total frame: 152
11:12:40.480: 77986ms, Total frame: 153
11:12:40.563: 81060ms, Total frame: 154
11:12:40.606: 40506ms, Total frame: 155
11:12:40.688: 81418ms, Total frame: 156
11:12:40.769: 81437ms, Total frame: 157
11:12:40.876: 106573ms, Total frame: 158
11:12:40.939: 54209ms, Total frame: 159
11:12:40.972: 24097ms, Total frame: 160
11:12:40.991: 18530ms, Total frame: 161
11:12:41.065: Frames in the last second: 15, Frame loss: 0, Total frame: 162
11:12:41.107: 115734ms, Total frame: 162
11:12:41.175: 68233ms, Total frame: 163
11:12:41.302: 124284ms, Total frame: 164
11:12:41.347: 45174ms, Total frame: 165
11:12:41.415: 67376ms, Total frame: 166
11:12:41.488: 73179ms, Total frame: 167
11:12:41.566: 77325ms, Total frame: 168
11:12:41.611: 43329ms, Total frame: 169
11:12:41.711: 99647ms, Total frame: 170
11:12:41.771: 52203ms, Total frame: 171
11:12:41.848: 75076ms, Total frame: 172
11:12:41.879: 30416ms, Total frame: 173
11:12:41.942: 63463ms, Total frame: 174
11:12:42.067: 124922ms, Total frame: 175
11:12:42.085: Frames in the last second: 14, Frame loss: 0, Total frame: 176
11:12:42.108: 38587ms, Total frame: 176
11:12:42.148: 39707ms, Total frame: 177
11:12:42.278: 130321ms, Total frame: 178
11:12:42.343: 65110ms, Total frame: 179
11:12:42.398: 52320ms, Total frame: 180
11:12:42.423: 25085ms, Total frame: 181
11:12:42.488: 64327ms, Total frame: 182
11:12:42.575: 87762ms, Total frame: 183
11:12:42.626: 50130ms, Total frame: 184
11:12:42.694: 68349ms, Total frame: 185
11:12:42.801: 102247ms, Total frame: 186
11:12:42.830: 27968ms, Total frame: 187
11:12:42.955: 124365ms, Total frame: 188
11:12:42.990: 35512ms, Total frame: 189
11:12:43.058: 67763ms, Total frame: 190
11:12:43.107: Frames in the last second: 15, Frame loss: 0, Total frame: 191
11:12:43.150: 91713ms, Total frame: 191
11:12:43.250: 100020ms, Total frame: 192
11:12:43.278: 24737ms, Total frame: 193
11:12:43.333: 55179ms, Total frame: 194
11:12:43.386: 52329ms, Total frame: 195
11:12:43.439: 53064ms, Total frame: 196
11:12:43.537: 97930ms, Total frame: 197
11:12:43.588: 45091ms, Total frame: 198
11:12:43.609: 20940ms, Total frame: 199
11:12:43.710: 101131ms, Total frame: 200
11:12:43.785: 74581ms, Total frame: 201
11:12:43.855: 60945ms, Total frame: 202
11:12:43.930: 74442ms, Total frame: 203
11:12:44.002: 69779ms, Total frame: 204
11:12:44.049: 47251ms, Total frame: 205
11:12:44.120: Frames in the last second: 15, Frame loss: 0, Total frame: 206
11:12:44.175: 125616ms, Total frame: 206
11:12:44.226: 50784ms, Total frame: 207
11:12:44.342: 113803ms, Total frame: 208
11:12:44.386: 44068ms, Total frame: 209
11:12:44.445: 59104ms, Total frame: 210
11:12:44.523: 77713ms, Total frame: 211
11:12:44.615: 91815ms, Total frame: 212
11:12:44.654: 36544ms, Total frame: 213
11:12:44.747: 93260ms, Total frame: 214
11:12:44.787: 40096ms, Total frame: 215
11:12:44.861: 71779ms, Total frame: 216
11:12:44.917: 55086ms, Total frame: 217
11:12:44.972: 55684ms, Total frame: 218
11:12:45.013: 25290ms, Total frame: 219
11:12:45.109: 95867ms, Total frame: 220
11:12:45.157: Frames in the last second: 15, Frame loss: 0, Total frame: 221
11:12:45.167: 46836ms, Total frame: 221
11:12:45.272: 105458ms, Total frame: 222
11:12:45.308: 35960ms, Total frame: 223
11:12:45.392: 83709ms, Total frame: 224
11:12:45.411: 18558ms, Total frame: 225
11:12:45.497: 86016ms, Total frame: 226
11:12:45.579: 82272ms, Total frame: 227
11:12:45.633: Exit key is pressed. Stopping the video
