
Camera FPS set to: 30
Camera resolution set to: 640x480


11:20:30.935: 72225ms, Total frame: 1
11:20:32.005: 5ms, Total frame: 2
11:20:32.005: Frames in the last second: 2, Frame loss: 0, Total frame: 2
11:20:32.009: 4ms, Total frame: 3
11:20:32.025: 6ms, Total frame: 4
11:20:32.052: 12ms, Total frame: 5
11:20:32.138: 7ms, Total frame: 6
11:20:32.145: 6ms, Total frame: 7
11:20:32.169: 3ms, Total frame: 8
11:20:32.173: 1ms, Total frame: 9
11:20:32.177: 1ms, Total frame: 10
11:20:32.184: 1ms, Total frame: 11
11:20:32.215: 1ms, Total frame: 12
11:20:32.254: 1ms, Total frame: 13
11:20:32.267: 1ms, Total frame: 14
11:20:32.285: 2ms, Total frame: 15
11:20:32.299: 1ms, Total frame: 16
11:20:32.304: 0ms, Total frame: 17
11:20:32.309: 0ms, Total frame: 18
11:20:32.317: 1ms, Total frame: 19
11:20:32.347: 2ms, Total frame: 20
11:20:32.352: 0ms, Total frame: 21
11:20:32.365: 1ms, Total frame: 22
11:20:32.381: 3ms, Total frame: 23
11:20:32.391: 1ms, Total frame: 24
11:20:32.412: 3ms, Total frame: 25
11:20:32.503: 2ms, Total frame: 26
11:20:32.514: 1ms, Total frame: 27
11:20:32.568: 1ms, Total frame: 28
11:20:32.574: 1ms, Total frame: 29
11:20:32.591: 2ms, Total frame: 30
11:20:32.598: 2ms, Total frame: 31
11:20:32.661: 1ms, Total frame: 32
11:20:32.675: 2ms, Total frame: 33
11:20:32.751: 55238ms, Total frame: 34
11:20:32.833: 54912ms, Total frame: 35
11:20:32.882: 41227ms, Total frame: 36
11:20:32.936: 44453ms, Total frame: 37
11:20:33.086: 39034ms, Total frame: 38
11:20:33.091: Frames in the last second: 36, Frame loss: 0, Total frame: 38
11:20:33.194: 31168ms, Total frame: 39
11:20:33.256: 54100ms, Total frame: 40
11:20:33.360: 53362ms, Total frame: 41
11:20:33.436: 71973ms, Total frame: 42
11:20:33.529: 83874ms, Total frame: 43
11:20:33.662: 120771ms, Total frame: 44
11:20:33.739: 65428ms, Total frame: 45
11:20:33.780: 36113ms, Total frame: 46
11:20:33.861: 72240ms, Total frame: 47
11:20:33.937: 64363ms, Total frame: 48
11:20:33.964: 19888ms, Total frame: 49
11:20:34.044: 55875ms, Total frame: 50
11:20:34.099: 41615ms, Total frame: 51
11:20:34.099: Frames in the last second: 13, Frame loss: 0, Total frame: 51
11:20:34.150: 22177ms, Total frame: 52
11:20:34.277: 104100ms, Total frame: 53
11:20:34.336: 40135ms, Total frame: 54
11:20:34.418: 75680ms, Total frame: 55
11:20:34.452: 21801ms, Total frame: 56
11:20:34.502: 17744ms, Total frame: 57
11:20:34.574: 56865ms, Total frame: 58
11:20:34.629: 43494ms, Total frame: 59
11:20:34.741: 55306ms, Total frame: 60
11:20:34.816: 14573ms, Total frame: 61
11:20:34.925: 90829ms, Total frame: 62
