
Camera FPS set to: 30
Camera resolution set to: 640x480

13:50:50.079: 71592ms, Total frame: 135
13:50:50.127: 48526ms, Total frame: 136
13:50:50.173: 41651ms, Total frame: 137
13:50:50.241: 68100ms, Total frame: 138
13:50:50.263: 21911ms, Total frame: 139
13:50:50.357: Frames in the last second: 22, Frame loss: 0, Total frame: 140
13:50:50.383: 117495ms, Total frame: 140
13:50:50.441: 57467ms, Total frame: 141
13:50:50.492: 51484ms, Total frame: 142
13:50:50.532: 39764ms, Total frame: 143
13:50:50.565: 32052ms, Total frame: 144
13:50:50.598: 32839ms, Total frame: 145
13:50:50.638: 39017ms, Total frame: 146
13:50:50.701: 62746ms, Total frame: 147
13:50:50.727: 26455ms, Total frame: 148
13:50:50.762: 34469ms, Total frame: 149
13:50:50.821: 59074ms, Total frame: 150
13:50:50.844: 22611ms, Total frame: 151
13:50:50.878: 34077ms, Total frame: 152
13:50:50.920: 41206ms, Total frame: 153
13:50:50.975: 52969ms, Total frame: 154
13:50:51.008: 32999ms, Total frame: 155
13:50:51.043: 32850ms, Total frame: 156
13:50:51.150: 106522ms, Total frame: 157
13:50:51.205: 51404ms, Total frame: 158
13:50:51.254: 48906ms, Total frame: 159
13:50:51.284: 29606ms, Total frame: 160
13:50:51.372: 86269ms, Total frame: 161
13:50:51.385: Frames in the last second: 22, Frame loss: 0, Total frame: 162
13:50:51.422: 50452ms, Total frame: 162
13:50:51.481: 50763ms, Total frame: 163
13:50:51.499: 17129ms, Total frame: 164
13:50:51.569: 67707ms, Total frame: 165
13:50:51.628: 59231ms, Total frame: 166
13:50:51.685: 57221ms, Total frame: 167
13:50:51.746: 60636ms, Total frame: 168
13:50:51.811: 65252ms, Total frame: 169
13:50:51.849: 19516ms, Total frame: 170
13:50:51.878: 28786ms, Total frame: 171
13:50:51.908: 29515ms, Total frame: 172
13:50:52.025: 116644ms, Total frame: 173
13:50:52.064: 39141ms, Total frame: 174
13:50:52.143: 78840ms, Total frame: 175
13:50:52.187: 44007ms, Total frame: 176
13:50:52.210: 22968ms, Total frame: 177
13:50:52.281: 70874ms, Total frame: 178
13:50:52.350: 68054ms, Total frame: 179
13:50:52.408: 58443ms, Total frame: 180
13:50:52.428: Frames in the last second: 19, Frame loss: 0, Total frame: 181
13:50:52.443: 33377ms, Total frame: 181
13:50:52.496: 52764ms, Total frame: 182
13:50:52.594: 93875ms, Total frame: 183
13:50:52.611: 17097ms, Total frame: 184
13:50:52.660: 49365ms, Total frame: 185
13:50:52.717: 57110ms, Total frame: 186
13:50:52.789: 69770ms, Total frame: 187
13:50:52.830: 41469ms, Total frame: 188
13:50:52.864: 33973ms, Total frame: 189
13:50:52.905: 39773ms, Total frame: 190
13:50:52.920: 13788ms, Total frame: 191
13:50:52.965: 44061ms, Total frame: 192
13:50:52.987: 20863ms, Total frame: 193
13:50:53.042: 53927ms, Total frame: 194
13:50:53.088: 46234ms, Total frame: 195
13:50:53.204: 115993ms, Total frame: 196
13:50:53.243: 34372ms, Total frame: 197
13:50:53.294: 50822ms, Total frame: 198
13:50:53.421: 126608ms, Total frame: 199
13:50:53.442: Frames in the last second: 19, Frame loss: 0, Total frame: 200
13:50:53.457: 35562ms, Total frame: 200
13:50:53.525: 67437ms, Total frame: 201
13:50:53.572: 46862ms, Total frame: 202
13:50:53.673: 97304ms, Total frame: 203
13:50:53.714: 41475ms, Total frame: 204
13:50:53.786: 71766ms, Total frame: 205
13:50:53.797: 10499ms, Total frame: 206
13:50:53.841: 42181ms, Total frame: 207
13:50:53.914: 73174ms, Total frame: 208
13:50:53.953: 38330ms, Total frame: 209
13:50:54.001: 48524ms, Total frame: 210
13:50:54.085: 83790ms, Total frame: 211
13:50:54.131: 45640ms, Total frame: 212
13:50:54.158: 27056ms, Total frame: 213
13:50:54.195: 36920ms, Total frame: 214
13:50:54.332: 136914ms, Total frame: 215
13:50:54.372: 39869ms, Total frame: 216
13:50:54.405: 32125ms, Total frame: 217
13:50:54.435: 29915ms, Total frame: 218
