
Camera FPS set to: 30
Camera resolution set to: 800x448

15:01:14.316: 2742927ms, Total frame: 1
15:01:14.358: Frames in the last second: 2, Frame loss: 0, Total frame: 2
15:01:14.362: 45935ms, Total frame: 2
15:01:14.380: 18036ms, Total frame: 3
15:01:14.453: 72276ms, Total frame: 4
15:01:14.464: 11766ms, Total frame: 5
15:01:14.545: 80536ms, Total frame: 6
15:01:14.555: 10216ms, Total frame: 7
15:01:14.579: 22997ms, Total frame: 8
15:01:14.611: 31782ms, Total frame: 9
15:01:14.634: 23097ms, Total frame: 10
15:01:14.666: 30916ms, Total frame: 11
15:01:14.699: 32874ms, Total frame: 12
15:01:14.748: 48672ms, Total frame: 13
15:01:14.774: 26005ms, Total frame: 14
15:01:14.812: 37764ms, Total frame: 15
15:01:14.850: 38029ms, Total frame: 16
15:01:14.875: 24873ms, Total frame: 17
15:01:14.908: 33150ms, Total frame: 18
15:01:14.939: 30141ms, Total frame: 19
15:01:14.971: 31992ms, Total frame: 20
15:01:15.007: 34402ms, Total frame: 21
15:01:15.038: 31272ms, Total frame: 22
15:01:15.066: 26412ms, Total frame: 23
15:01:15.105: 38335ms, Total frame: 24
15:01:15.135: 29918ms, Total frame: 25
15:01:15.172: 36629ms, Total frame: 26
15:01:15.204: 31501ms, Total frame: 27
15:01:15.234: 28969ms, Total frame: 28
15:01:15.276: 41910ms, Total frame: 29
15:01:15.307: 30842ms, Total frame: 30
15:01:15.338: 30804ms, Total frame: 31
15:01:15.369: Frames in the last second: 30, Frame loss: 0, Total frame: 32
15:01:15.381: 42819ms, Total frame: 32
15:01:15.407: 26429ms, Total frame: 33
15:01:15.435: 27297ms, Total frame: 34
15:01:15.475: 40209ms, Total frame: 35
15:01:15.508: 32003ms, Total frame: 36
15:01:15.545: 36770ms, Total frame: 37
15:01:15.571: 26406ms, Total frame: 38
15:01:15.598: 26159ms, Total frame: 39
15:01:15.637: 36489ms, Total frame: 40
15:01:15.675: 37976ms, Total frame: 41
15:01:15.701: 25640ms, Total frame: 42
15:01:15.747: 46149ms, Total frame: 43
15:01:15.795: 47587ms, Total frame: 44
15:01:15.816: 20830ms, Total frame: 45
15:01:15.857: 35760ms, Total frame: 46
15:01:15.876: 19134ms, Total frame: 47
15:01:15.908: 31897ms, Total frame: 48
15:01:15.953: 44401ms, Total frame: 49
15:01:15.979: 26362ms, Total frame: 50
15:01:16.009: 29545ms, Total frame: 51
15:01:16.047: 37887ms, Total frame: 52
15:01:16.073: 25467ms, Total frame: 53
15:01:16.107: 34345ms, Total frame: 54
15:01:16.141: 33650ms, Total frame: 55
15:01:16.188: 46747ms, Total frame: 56
15:01:16.223: 33989ms, Total frame: 57
15:01:16.266: 42851ms, Total frame: 58
15:01:16.295: 29243ms, Total frame: 59
15:01:16.315: 19687ms, Total frame: 60
15:01:16.356: 40806ms, Total frame: 61
15:01:16.360: Frames in the last second: 30, Frame loss: 0, Total frame: 62
15:01:16.379: 22274ms, Total frame: 62
15:01:16.415: 36069ms, Total frame: 63
15:01:16.444: 28626ms, Total frame: 64
