
Camera FPS set to: 30
Camera resolution set to: 640x480

17:45:21.556: 699182ms, Total frame: 1
17:45:21.574: 16817ms, Total frame: 2
17:45:21.683: 108991ms, Total frame: 3
17:45:21.706: 22557ms, Total frame: 4
17:45:21.816: 109771ms, Total frame: 5
17:45:21.854: 36137ms, Total frame: 6
17:45:21.867: Frames in the last second: 7, Frame loss: 0, Total frame: 7
17:45:21.882: 28639ms, Total frame: 7
17:45:21.909: 26330ms, Total frame: 8
17:45:21.982: 72552ms, Total frame: 9
17:45:22.229: 246719ms, Total frame: 10
17:45:22.299: 68831ms, Total frame: 11
17:45:22.346: 46893ms, Total frame: 12
17:45:22.436: 89310ms, Total frame: 13
17:45:22.508: 71034ms, Total frame: 14
17:45:22.598: 89658ms, Total frame: 15
17:45:22.633: 34911ms, Total frame: 16
17:45:22.775: 139699ms, Total frame: 17
17:45:22.797: 22135ms, Total frame: 18
17:45:22.846: 49174ms, Total frame: 19
17:45:22.886: 34610ms, Total frame: 20
17:45:22.988: Frames in the last second: 14, Frame loss: 0, Total frame: 21
17:45:23.010: 124035ms, Total frame: 21
17:45:23.081: 69625ms, Total frame: 22
17:45:23.143: 62005ms, Total frame: 23
17:45:23.210: 66887ms, Total frame: 24
17:45:23.317: 105338ms, Total frame: 25
17:45:23.445: 128211ms, Total frame: 26
17:45:23.499: 53397ms, Total frame: 27
17:45:23.683: 184633ms, Total frame: 28
17:45:23.799: 115632ms, Total frame: 29
17:45:23.919: 119575ms, Total frame: 30
17:45:23.942: 22643ms, Total frame: 31
17:45:24.004: Frames in the last second: 11, Frame loss: 0, Total frame: 32
17:45:24.038: 95857ms, Total frame: 32
17:45:24.129: 87496ms, Total frame: 33
17:45:24.191: 60832ms, Total frame: 34
17:45:24.315: 123486ms, Total frame: 35
17:45:24.418: 91341ms, Total frame: 36
17:45:24.749: 330919ms, Total frame: 37
17:45:24.848: 95240ms, Total frame: 38
17:45:24.947: 96837ms, Total frame: 39
17:45:24.994: 46430ms, Total frame: 40
17:45:25.039: Frames in the last second: 9, Frame loss: 0, Total frame: 41
17:45:25.163: 168364ms, Total frame: 41
17:45:25.268: 105041ms, Total frame: 42
17:45:25.322: 52781ms, Total frame: 43
17:45:25.418: 96648ms, Total frame: 44
17:45:25.513: 93929ms, Total frame: 45
17:45:25.561: 47715ms, Total frame: 46
17:45:25.595: 33955ms, Total frame: 47
17:45:25.682: 87066ms, Total frame: 48
17:45:25.717: 34243ms, Total frame: 49
17:45:25.799: 81159ms, Total frame: 50
17:45:25.869: 70028ms, Total frame: 51
17:45:25.980: 108718ms, Total frame: 52
17:45:26.024: 42371ms, Total frame: 53
17:45:26.075: Frames in the last second: 13, Frame loss: 0, Total frame: 54
17:45:26.124: 100672ms, Total frame: 54
17:45:26.160: 34869ms, Total frame: 55
17:45:26.219: 57919ms, Total frame: 56
17:45:26.368: 148691ms, Total frame: 57
17:45:26.389: 20847ms, Total frame: 58
17:45:26.536: 146124ms, Total frame: 59
17:45:26.631: 83607ms, Total frame: 60
17:45:26.680: 49088ms, Total frame: 61
17:45:26.803: 122775ms, Total frame: 62
17:45:26.861: 57452ms, Total frame: 63
17:45:26.952: 90771ms, Total frame: 64
17:45:27.016: 64325ms, Total frame: 65
17:45:27.084: Frames in the last second: 12, Frame loss: 0, Total frame: 66
17:45:27.094: 76842ms, Total frame: 66
17:45:27.249: 154555ms, Total frame: 67
17:45:27.349: 99813ms, Total frame: 68
17:45:27.424: 73891ms, Total frame: 69
17:45:27.576: 151962ms, Total frame: 70
17:45:27.611: 34545ms, Total frame: 71
17:45:27.659: 48110ms, Total frame: 72
17:45:27.764: 104632ms, Total frame: 73
17:45:27.875: 110243ms, Total frame: 74
17:45:27.956: 79924ms, Total frame: 75
17:45:27.996: 37140ms, Total frame: 76
17:45:28.100: 102918ms, Total frame: 77
17:45:28.126: Frames in the last second: 12, Frame loss: 0, Total frame: 78
17:45:28.167: 66238ms, Total frame: 78
17:45:28.254: 69226ms, Total frame: 79
17:45:28.288: 33339ms, Total frame: 80
17:45:28.369: 79962ms, Total frame: 81
17:45:28.428: 56278ms, Total frame: 82
