
Camera FPS set to: 30
Camera resolution set to: 640x480

17:01:41.838: 851067ms, Total frame: 1
17:01:41.901: 63358ms, Total frame: 2
17:01:41.949: 47607ms, Total frame: 3
17:01:41.989: Frames in the last second: 4, Frame loss: 0, Total frame: 4
17:01:42.058: 99875ms, Total frame: 4
17:01:42.135: 77166ms, Total frame: 5
17:01:42.238: 100236ms, Total frame: 6
17:01:42.271: 33535ms, Total frame: 7
17:01:42.301: 29289ms, Total frame: 8
17:01:42.405: 104132ms, Total frame: 9
17:01:42.502: 94801ms, Total frame: 10
17:01:42.607: 104387ms, Total frame: 11
17:01:42.682: 74219ms, Total frame: 12
17:01:42.721: 38099ms, Total frame: 13
17:01:42.753: 32037ms, Total frame: 14
17:01:42.817: 63952ms, Total frame: 15
17:01:42.858: 40256ms, Total frame: 16
17:01:42.945: 84507ms, Total frame: 17
17:01:42.959: 13255ms, Total frame: 18
17:01:42.977: 17878ms, Total frame: 19
17:01:43.000: 23302ms, Total frame: 20
17:01:43.008: Frames in the last second: 17, Frame loss: 0, Total frame: 21
17:01:43.028: 27376ms, Total frame: 21
17:01:43.064: 35435ms, Total frame: 22
17:01:43.111: 46924ms, Total frame: 23
17:01:43.169: 57987ms, Total frame: 24
17:01:43.212: 42417ms, Total frame: 25
17:01:43.242: 29610ms, Total frame: 26
17:01:43.266: 20341ms, Total frame: 27
17:01:43.300: 33188ms, Total frame: 28
17:01:43.372: 71458ms, Total frame: 29
17:01:43.388: 14800ms, Total frame: 30
17:01:43.403: 14955ms, Total frame: 31
17:01:43.420: 14070ms, Total frame: 32
17:01:43.437: 16592ms, Total frame: 33
17:01:43.450: 12909ms, Total frame: 34
17:01:43.476: 26015ms, Total frame: 35
17:01:43.531: 53804ms, Total frame: 36
17:01:43.575: 43698ms, Total frame: 37
17:01:43.613: 38385ms, Total frame: 38
17:01:43.640: 26489ms, Total frame: 39
17:01:43.677: 34240ms, Total frame: 40
17:01:43.714: 37026ms, Total frame: 41
17:01:43.747: 31993ms, Total frame: 42
17:01:43.791: 43715ms, Total frame: 43
17:01:43.839: 46783ms, Total frame: 44
17:01:43.918: 76007ms, Total frame: 45
17:01:43.947: 29009ms, Total frame: 46
17:01:43.992: 45105ms, Total frame: 47
17:01:44.071: Frames in the last second: 27, Frame loss: 0, Total frame: 48
17:01:44.086: 93000ms, Total frame: 48
17:01:44.125: 38396ms, Total frame: 49
17:01:44.150: 24714ms, Total frame: 50
17:01:44.204: 53641ms, Total frame: 51
17:01:44.231: 27186ms, Total frame: 52
17:01:44.266: 32243ms, Total frame: 53
17:01:44.338: 70137ms, Total frame: 54
17:01:44.415: 77033ms, Total frame: 55
17:01:44.469: 53478ms, Total frame: 56
17:01:44.517: 42457ms, Total frame: 57
17:01:44.551: 33644ms, Total frame: 58
17:01:44.578: 26218ms, Total frame: 59
17:01:44.697: 119431ms, Total frame: 60
17:01:44.714: 16445ms, Total frame: 61
17:01:44.752: 38463ms, Total frame: 62
17:01:44.825: 72184ms, Total frame: 63
17:01:44.877: 52048ms, Total frame: 64
17:01:44.958: 81015ms, Total frame: 65
17:01:45.000: 40698ms, Total frame: 66
17:01:45.082: 78832ms, Total frame: 67
17:01:45.088: Frames in the last second: 20, Frame loss: 0, Total frame: 68
17:01:45.094: 11542ms, Total frame: 68
17:01:45.182: 87108ms, Total frame: 69
17:01:45.337: 154338ms, Total frame: 70
17:01:45.426: 88073ms, Total frame: 71
17:01:45.510: 82320ms, Total frame: 72
17:01:45.570: 59194ms, Total frame: 73
17:01:45.789: 219796ms, Total frame: 74
17:01:45.811: 21403ms, Total frame: 75
17:01:45.856: 42453ms, Total frame: 76
17:01:45.966: 109677ms, Total frame: 77
17:01:46.018: 51211ms, Total frame: 78
17:01:46.092: 72775ms, Total frame: 79
17:01:46.179: Frames in the last second: 12, Frame loss: 0, Total frame: 80
17:01:46.187: 94688ms, Total frame: 80
17:01:46.286: 93936ms, Total frame: 81
17:01:46.340: 53995ms, Total frame: 82
17:01:46.416: 75497ms, Total frame: 83
17:01:46.491: 74711ms, Total frame: 84
17:01:46.569: 78367ms, Total frame: 85
17:01:46.609: 40138ms, Total frame: 86
17:01:46.657: 47778ms, Total frame: 87
17:01:46.734: 75567ms, Total frame: 88
17:01:46.825: 91003ms, Total frame: 89
17:01:46.878: 44945ms, Total frame: 90
17:01:46.923: 44495ms, Total frame: 91
17:01:46.986: 59740ms, Total frame: 92
17:01:47.065: 78405ms, Total frame: 93
17:01:47.121: 50784ms, Total frame: 94
17:01:47.202: Frames in the last second: 15, Frame loss: 0, Total frame: 95
17:01:47.206: 84869ms, Total frame: 95
17:01:47.357: 150700ms, Total frame: 96
17:01:47.390: 32753ms, Total frame: 97
17:01:47.407: 16588ms, Total frame: 98
17:01:47.484: 77036ms, Total frame: 99
17:01:47.558: 72153ms, Total frame: 100
17:01:47.620: 61598ms, Total frame: 101
17:01:47.730: 109841ms, Total frame: 102
17:01:47.762: 31238ms, Total frame: 103
17:01:47.840: 77354ms, Total frame: 104
17:01:47.886: 45635ms, Total frame: 105
17:01:47.949: 63512ms, Total frame: 106
17:01:48.035: 85524ms, Total frame: 107
17:01:48.072: 36333ms, Total frame: 108
17:01:48.235: Frames in the last second: 14, Frame loss: 0, Total frame: 109
17:01:48.239: 167358ms, Total frame: 109
17:01:48.296: 57223ms, Total frame: 110
17:01:48.373: 76584ms, Total frame: 111
17:01:48.438: 64637ms, Total frame: 112
17:01:48.484: 39013ms, Total frame: 113
17:01:48.609: 124626ms, Total frame: 114
17:01:48.654: 42413ms, Total frame: 115
17:01:48.733: 78646ms, Total frame: 116
17:01:48.822: 89493ms, Total frame: 117
17:01:48.879: 56454ms, Total frame: 118
17:01:49.014: 135599ms, Total frame: 119
17:01:49.113: 98907ms, Total frame: 120
17:01:49.126: 12773ms, Total frame: 121
