
Camera FPS set to: 30
Camera resolution set to: 800x448

11:10:40.610: 98382ms, Total frame: 127
11:10:40.720: 107411ms, Total frame: 128
11:10:40.879: 159443ms, Total frame: 129
11:10:40.985: 104206ms, Total frame: 130
11:10:41.009: 21118ms, Total frame: 131
11:10:41.101: 89754ms, Total frame: 132
11:10:41.187: 85962ms, Total frame: 133
11:10:41.226: 39221ms, Total frame: 134
11:10:41.309: 83063ms, Total frame: 135
11:10:41.395: 85706ms, Total frame: 136
11:10:41.494: 96953ms, Total frame: 137
11:10:41.601: Frames in the last second: 12, Frame loss: 0, Total frame: 138
11:10:41.622: 125959ms, Total frame: 138
11:10:41.693: 70642ms, Total frame: 139
11:10:41.773: 79641ms, Total frame: 140
11:10:41.825: 48213ms, Total frame: 141
11:10:41.869: 43189ms, Total frame: 142
11:10:41.938: 69565ms, Total frame: 143
11:10:42.021: 82907ms, Total frame: 144
11:10:42.151: 128565ms, Total frame: 145
11:10:42.339: 187782ms, Total frame: 146
11:10:42.388: 45964ms, Total frame: 147
11:10:42.479: 91495ms, Total frame: 148
11:10:42.531: 51530ms, Total frame: 149
11:10:42.615: 84410ms, Total frame: 150
11:10:42.689: Frames in the last second: 13, Frame loss: 0, Total frame: 151
11:10:42.711: 95126ms, Total frame: 151
11:10:42.814: 103548ms, Total frame: 152
11:10:42.841: 26493ms, Total frame: 153
11:10:42.968: 126657ms, Total frame: 154
11:10:43.077: 108845ms, Total frame: 155
11:10:43.133: 56134ms, Total frame: 156
11:10:43.200: 66916ms, Total frame: 157
11:10:43.281: 80547ms, Total frame: 158
11:10:43.342: 59002ms, Total frame: 159
11:10:43.437: 94053ms, Total frame: 160
11:10:43.580: 142830ms, Total frame: 161
11:10:43.642: 62149ms, Total frame: 162
11:10:43.706: Frames in the last second: 12, Frame loss: 0, Total frame: 163
11:10:43.721: 76486ms, Total frame: 163
11:10:43.790: 68893ms, Total frame: 164
11:10:43.907: 117281ms, Total frame: 165
11:10:43.976: 66115ms, Total frame: 166
11:10:44.047: 71031ms, Total frame: 167
11:10:44.153: 104722ms, Total frame: 168
11:10:44.273: 115292ms, Total frame: 169
11:10:44.361: 88246ms, Total frame: 170
11:10:44.423: 61985ms, Total frame: 171
11:10:44.507: 83651ms, Total frame: 172
11:10:44.557: 49097ms, Total frame: 173
11:10:44.653: 92007ms, Total frame: 174
11:10:44.775: Frames in the last second: 12, Frame loss: 0, Total frame: 175
11:10:44.856: 198924ms, Total frame: 175
11:10:44.939: 78043ms, Total frame: 176
11:10:44.994: 54837ms, Total frame: 177
11:10:45.107: 112590ms, Total frame: 178
11:10:45.138: 31106ms, Total frame: 179
11:10:45.293: 154646ms, Total frame: 180
11:10:45.358: 62947ms, Total frame: 181
11:10:45.420: 62559ms, Total frame: 182
11:10:45.490: 69572ms, Total frame: 183
11:10:45.547: 56912ms, Total frame: 184
11:10:45.602: 54694ms, Total frame: 185
11:10:45.703: 100911ms, Total frame: 186
11:10:45.780: 74337ms, Total frame: 187
11:10:45.855: Frames in the last second: 13, Frame loss: 0, Total frame: 188
11:10:45.880: 100369ms, Total frame: 188
11:10:45.999: 118755ms, Total frame: 189
11:10:46.073: 42068ms, Total frame: 190
11:10:46.123: 49916ms, Total frame: 191
11:10:46.224: 101054ms, Total frame: 192
11:10:46.266: 41944ms, Total frame: 193
11:10:46.315: 48862ms, Total frame: 194
11:10:46.390: 74569ms, Total frame: 195
11:10:46.471: 81224ms, Total frame: 196
11:10:46.564: 92830ms, Total frame: 197
11:10:46.647: 79709ms, Total frame: 198
11:10:46.749: 101027ms, Total frame: 199
11:10:46.896: 141185ms, Total frame: 200
11:10:46.900: Frames in the last second: 13, Frame loss: 0, Total frame: 201
11:10:46.943: 44792ms, Total frame: 201
11:10:47.084: 141203ms, Total frame: 202
11:10:47.154: 66742ms, Total frame: 203
11:10:47.246: 91667ms, Total frame: 204
11:10:47.328: 71032ms, Total frame: 205
11:10:47.386: 45831ms, Total frame: 206
11:10:47.480: 93556ms, Total frame: 207
11:10:47.628: 146171ms, Total frame: 208
11:10:47.689: 61414ms, Total frame: 209
11:10:47.793: 103508ms, Total frame: 210
11:10:47.896: 100084ms, Total frame: 211
